consent_key.keys,consent_key.rt,intro_key_2.keys,intro_key_2.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,keyTraining.keys,keyTraining.corr,keyTraining.rt,practiceloop.thisRepN,practiceloop.thisTrialN,practiceloop.thisN,practiceloop.thisIndex,practiceloop.ran,s11,s1_1,s12,s22,s13,s23,s33,s14,s24,s34,s44,s15,s25,s35,s45,s55,t11,t1_1,t12,t22,t13,t23,t33,t14,t24,t34,t44,t15,t25,t35,t45,t55,corrans,study,o11,o1_1,o12,o22,o13,o23,o33,o14,o24,o34,o44,o15,o25,o35,o45,o55,ot11,ot1_1,ot12,ot22,ot13,ot23,ot33,ot14,ot24,ot34,ot44,ot15,ot25,ot35,ot45,ot55,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.corr,key_resp.rt,testloop.thisRepN,testloop.thisTrialN,testloop.thisN,testloop.thisIndex,testloop.ran,setsize,key_resp_3.keys,key_resp_3.rt
y,65.778,space,26.113,space,1.975,s,6.429,d,3.479,space,7.735,s,1,1.158,0,0,0,0,1,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,,,s,,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,N-2021,2021-02-26_09h27.42.795,Impossible2021,2020.1.3,MacIntel,60,,,,,,,,,,,,,
,,,,,,,,,,,,d,1,0.873,0,1,1,1,1,,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,,d,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,N-2021,2021-02-26_09h27.42.795,Impossible2021,2020.1.3,MacIntel,60,,,,,,,,,,,,,
,,,,,,,,,,,,s,1,1.565,0,2,2,2,1,,,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,s,,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,N-2021,2021-02-26_09h27.42.795,Impossible2021,2020.1.3,MacIntel,60,,,,,,,,,,,,,
,,,,,,,,,,,,s,0,0.573,0,3,3,3,1,,,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,,,d,,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,N-2021,2021-02-26_09h27.42.795,Impossible2021,2020.1.3,MacIntel,60,,,,,,,,,,,,,
,,,,,,,,,,,,s,1,1.225,0,4,4,4,1,,,,,images/06impossible.bmp,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,,,s,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,N-2021,2021-02-26_09h27.42.795,Impossible2021,2020.1.3,MacIntel,60,,,,,,,,,,,,,
,,,,,,,,,,,,d,1,0.898,0,5,5,5,1,,,,,images/06impossible.bmp,images/06impossible.bmp,images/06impossible.bmp,,,,,,,,,,,,,,,,images/06impossible.bmp,,,,,,,,,,d,,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,N-2021,2021-02-26_09h27.42.795,Impossible2021,2020.1.3,MacIntel,60,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/25possible.bmp,images/25possible.bmp,images/25possible.bmp,images/25possible.bmp,,,,,,,,,,,,,,,images/25possible.bmp,,,,,,,s,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,N-2021,2021-02-26_09h27.42.795,Impossible2021,2020.1.3,MacIntel,60,space,1.695,s,1,1.435,0,0,0,77,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,images/24impossible.bmp,images/24impossible.bmp,images/24impossible.bmp,,,,,,,,,,,,,,,images/24impossible.bmp,,,,,,,,,,,d,impossible,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,N-2021,2021-02-26_09h27.42.795,Impossible2021,2020.1.3,MacIntel,60,,,s,0,1.291,0,1,1,58,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/55impossible.bmp,images/55impossible.bmp,images/55impossible.bmp,images/55impossible.bmp,,,,,,,,,,,,,,,,images/55impossible.bmp,,,,,,d,impossible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,N-2021,2021-02-26_09h27.42.795,Impossible2021,2020.1.3,MacIntel,60,,,d,1,1.23,0,2,2,93,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,images/25possible.bmp,images/25possible.bmp,images/25possible.bmp,images/25possible.bmp,,,,,,,,,,,,,,images/25possible.bmp,,,,,,,,d,possible,72,72,0,288,216,144,72,0,288,216,144,72,0,288,216,144,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,N-2021,2021-02-26_09h27.42.795,Impossible2021,2020.1.3,MacIntel,60,,,d,1,1.146,0,3,3,83,1,4,,
,,,,,,,,,,,,,,,,,,,,,,,,images/22impossible.bmp,images/22impossible.bmp,images/22impossible.bmp,,,,,,,,,,,,,,,,images/22impossible.bmp,,,,,,,,,,d,impossible,216,216,144,72,0,288,216,144,72,0,288,216,144,72,0,288,144,144,72,0,288,216,144,72,0,288,216,144,72,0,288,216,N-2021,2021-02-26_09h27.42.795,Impossible2021,2020.1.3,MacIntel,60,,,d,1,1.237,0,4,4,57,1,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,images/24impossible.bmp,images/24impossible.bmp,images/24impossible.bmp,images/24impossible.bmp,images/24impossible.bmp,,,,,,,,,,,,,,,,images/24impossible.bmp,d,impossible,0,0,288,216,144,72,0,288,216,144,72,0,288,216,144,72,288,288,216,144,72,0,288,216,144,72,0,288,216,144,72,0,N-2021,2021-02-26_09h27.42.795,Impossible2021,2020.1.3,MacIntel,60,,,d,1,1.062,0,5,5,106,1,5,,
